,SIDateTime,ElectricActivity,NLS,ltgAll,VASR_AB,OverallABmedInfra,OverallABmedSeis,maxseisDur,maxinfraDur,CRF_yn,CRF_yn2,start_ElectricActivity,Factor_ltgAll
470,6/2/15 12:55:25,3.8063314,12,1,14.29489734,1358277.808,105995.2796,30.47,21.21,n,n,3.80635565,1
472,6/2/15 13:03:22,0.62348304,2,0,11.19938502,1037827.532,133474.9166,64.54,55.81,n,n,0.62350729,0
473,6/2/15 13:05:20,0.001990463,19,1,5.593011033,413415.9988,88777.44422,48.11,39.66,n,n,0.002014713,1
474,6/2/15 13:06:14,42.631306,5,0,6.318098418,908295.7124,179709.5334,40.35,34.87,n,n,42.63133025,0
475,6/2/15 13:10:51,0.52453301,24,1,5.273504684,353266.0084,80007.22183,37.95,29.86,n,n,0.52455726,1
476,6/2/15 13:12:29,0.003717887,29,1,6.762400034,601792.4347,125119.6345,69.56,61.28,n,n,0.003742137,1
477,6/2/15 13:16:13,27.520365,74,5,7.529637828,1515523.852,247338.2823,99.83,90.07,n,n,27.52038925,1
478,6/2/15 13:18:22,0,1,0,5.914838708,250341.6713,67353.80609,31.62,25.81,n,n,2.43E-05,0
479,6/2/15 13:27:40,17.282902,141,6,5.068042596,1170090.59,287352.9511,43.8,34.97,n,n,17.28292625,1
481,6/2/15 13:36:31,10.332817,159,9,7.134844993,1321642.232,245291.1504,45.54,36.48,n,n,10.33284125,1
482,6/2/15 13:43:50,20.683564,16,1,16.34638887,2707876.438,165655.9415,61.2,51.09,n,n,20.68358825,1
483,6/2/15 13:46:32,6.1321146,39,4,10.1566605,1003554.59,121561.7915,48.73,39.94,n,n,6.13213885,1
484,6/2/15 13:48:39,6.9822044,5,0,11.58928175,1004735.379,111792.3261,52.85,43.04,n,n,6.98222865,0
485,6/2/15 13:55:30,7.3013895,49,4,20.63165084,3166067.66,191296.182,78.77,68.47,n,n,7.30141375,1
488,6/2/15 14:11:24,32.298379,121,6,49.05564672,11923733.58,328609.4644,94.44,84.39,n,n,32.29840325,1
489,6/2/15 14:20:27,10.498986,28,3,68.19266539,10717513.05,166613.0548,38.45,26.35,n,n,10.49901025,1
493,6/2/15 14:43:26,15.621883,34,1,25.78775904,2029418.66,113928.4178,26.91,22.82,n,n,15.62190725,1
494,6/2/15 14:48:27,8.2571475,4,0,27.99346715,6827009.084,317178.3678,98.76,90.21,n,n,8.25717175,0
495,6/2/15 15:01:34,7.7573749,22,3,26.84188117,5564013.365,203105.4219,29.68,44.09,n,n,7.75739915,1
496,6/2/15 15:04:41,9.8662511,77,5,12.11104875,2415346.15,207886.2037,65.2,56.38,n,n,9.86627535,1
497,6/2/15 15:09:54,0.001533347,7,1,14.74297008,1904389.247,120981.6075,43.91,35.97,n,n,0.001557597,1
