"","SIDateTime","ElectricActivity","NLS","ltgAll","VASR_AB","OverallABmedInfra","OverallABmedSeis","maxseisDur","maxinfraDur","CRF_yn","CRF_yn2","start_ElectricActivity","Factor_ltgAll"
"15","29-May-2015 02:15:07",289.59485,593,16,6.31006114759878,575234.6454055,126023.73884,46.24,39.75,"n","n",289.59487425,"1"
"16","29-May-2015 02:29:34",18.292227,96,4,3.24789570231544,965334.811915,360514.840722,35.33,30.35,"n","n",18.29225125,"1"
"17","29-May-2015 02:31:44",7.2040957,12,1,4.76702207051465,1596744.664143,334956.423638,29.87,25.99,"n","n",7.20411995,"1"
"18","29-May-2015 03:46:40",16.137892,8,1,4.06647649047537,258355.6876115,64004.107463,35.73,30.1,"n","n",16.13791625,"1"
"21","29-May-2015 04:20:21",183.53532,119,0,1.62776412133357,15619.548756,11523.8926625,14.92,6.56,"n","n",183.53534425,"0"
"25","29-May-2015 04:52:56",17.749474,24,0,4.13250140581691,371022.550588,130934.4947565,41,28.11,"n","n",17.74949825,"0"
"32","29-May-2015 07:24:13",41.71846,133,8,7.62297368310433,303164.5559305,50553.524323,49.79,43.43,"n","n",41.71848425,"1"
"34","29-May-2015 07:28:09",0.002670606,3,0,2.44455568882359,20558.3091125,16312.855941,9.82,4.5,"n","n",0.002694856,"0"
"35","29-May-2015 07:29:39",2.5780031,7,1,3.82763805659716,409389.288005,129680.5143375,82.75,71.98,"n","n",2.57802735,"1"
"40","29-May-2015 08:16:11",132.46442,469,15,2.19832891123034,145168.931657,86099.921328,28.93,11.74,"n","n",132.46444425,"1"
"41","29-May-2015 08:19:18",42.857707,434,14,0.539877971517808,238153.4391685,495515.4437505,21.72,14.78,"n","n",42.85773125,"1"
"46","29-May-2015 08:45:54",11.753437,18,2,1.48440879273874,197313.768656,257282.11151,95.82,90.1,"n","n",11.75346125,"1"
"48","29-May-2015 08:49:57",40.345074,106,8,9.08282034105359,1193070.124313,186378.552118,37.63,30.28,"n","n",40.34509825,"1"
"49","29-May-2015 08:52:04",16.425338,5,0,1.45896273478205,195902.437596,259267.6590055,55.16,49.66,"n","n",16.42536225,"0"
"50","29-May-2015 08:55:11",15.375023,55,4,2.37661477912266,311015.6994,193770.8540025,19.87,13.74,"n","n",15.37504725,"1"
"51","29-May-2015 08:56:17",160.53716,134,5,1.42861026374358,262525.092091,251785.685992,19.25,13.62,"n","n",160.53718425,"1"
"52","29-May-2015 09:01:06",0.004951019,22,1,2.46409302556736,274940.2717755,170092.8972895,32.78,25.88,"n","n",0.004975269,"1"
"53","29-May-2015 09:01:51",0,1,0,1.2980160011502,139522.2293735,174228.7272275,21.26,15.76,"n","n",2.425e-05,"0"
"54","29-May-2015 09:08:27",0,1,0,2.64203192210152,1030497.719758,607430.605273,37.66,32.25,"n","n",2.425e-05,"0"
"55","29-May-2015 09:14:16",0,1,0,1.29127962718962,172285.123967,166378.948087,38.78,32.9,"n","n",2.425e-05,"0"
"56","29-May-2015 09:16:27",0.001745308,18,1,1.66500881250311,125949.396079,105996.144062,22.4,16.09,"n","n",0.001769558,"1"
"57","29-May-2015 09:33:05",55.838316,45,3,4.01417381054803,2553403.8442605,694155.0575215,105.62,99.94,"n","n",55.83834025,"1"
"60","29-May-2015 09:52:39",0.002287287,10,1,1.60780049870606,230189.2621385,229912.984793,38.52,34.06,"n","n",0.002311537,"1"
"61","29-May-2015 09:54:01",90.263119,145,8,1.93903987960395,709526.8531815,451038.781281,15.65,10.83,"n","n",90.26314325,"1"
"62","29-May-2015 09:55:49",74.72868,23,2,1.67102520052884,1339382.32111,1441491.3593615,32.55,27.69,"n","n",74.72870425,"1"
"64","29-May-2015 10:00:11",58.941275,120,4,1.50755110359866,885302.751973,774408.525773,82.31,76,"n","n",58.94129925,"1"
"67","29-May-2015 10:04:08",0,1,0,1.0280765231538,354992.720497,505866.953693,57.54,52.19,"n","n",2.425e-05,"0"
"70","29-May-2015 10:10:13",0,1,0,2.27371680382683,734110.8854885,489523.383247,100.03,90.74,"n","n",2.425e-05,"0"
"71","29-May-2015 10:11:46",0,1,0,3.82563953790495,459449.049742,193272.689057,46.27,40.64,"n","n",2.425e-05,"0"
"79","29-May-2015 11:51:35",16.701057,59,5,24.3169567820148,1442820.6945595,59333.933415,8.04,7.72,"n","n",16.70108125,"1"
"174","30-May-2015 05:39:36",23.41214,194,4,3.51592011019999,417897.8564825,166334.898606,98.17,83.07,"n","n",23.41216425,"1"
"180","30-May-2015 06:14:20",8.6610046,111,3,0.254250063756616,26868.0512775,135741.242292,26.91,21.12,"n","n",8.66102885,"1"
"183","30-May-2015 06:43:42",0.000594977,2,0,2.75341227285468,53450.9470525,19619.2594375,28.37,17.91,"n","n",0.000619227,"0"
"187","30-May-2015 08:26:34",7.1996228,2,0,1.05614741986431,135047.4722835,152080.447666,43.5,34.79,"n","n",7.19964705,"0"
"188","30-May-2015 09:16:06",24.673267,192,11,54.471225923323,3395557873.87019,62336725.790787,75.44,66.47,"n","n",24.67329125,"1"
"189","30-May-2015 09:31:25",1.6712807,7,0,1.51333940359125,59578872.7032685,39369141.2262735,100.24,90.34,"n","n",1.67130495,"0"
"195","30-May-2015 09:51:41",81.012578,9,1,5.25967599504632,106262.380377,23185.570612,71.38,51.8,"n","n",81.01260225,"1"
"197","30-May-2015 10:02:43",16.302435,49,3,0.524354733198891,285328.11553,561678.8878035,114.07,106.04,"n","n",16.30245925,"1"
"214","30-May-2015 14:22:23",37.590787,342,12,0.450370391741709,66768.2018015,175036.426079,97.3,94.87,"n","n",37.59081125,"1"
"215","30-May-2015 14:28:05",0.5096165,8,0,5.67129378713158,30369442.661814,5670654.6919115,66.15,57.31,"n","n",0.50964075,"0"
"216","30-May-2015 14:32:53",0.000195616,3,1,0.731814696785403,59389.022208,108662.6055795,100.9,90.62,"n","n",0.000219866,"1"
"218","30-May-2015 15:05:53",0,1,0,7.35565501006773,228871.493123,39345.2291515,65.49,51.51,"n","n",2.425e-05,"0"
"221","30-May-2015 15:38:09",12.628945,16,2,4.90079519674491,169700.402976,47193.165362,76.93,70.5,"n","n",12.62896925,"1"
"225","30-May-2015 16:09:03",4.0255731,11,1,1.2316216369755,122338.724269,139665.0256335,77.04,65.95,"n","n",4.02559735,"1"
